,Paylaþým
0,Doða aðzýmýza sýçsa hakký var
1,"Anne bir sanatçýdýr, en güzel eseri de yavrusudur. "
2,ibrahimin oðlunu koruyan Tanrýya da ben sokayým
3,Köpeðim suratýna sýçsýn senin namussuz karý
4,"Ben söðüþledim, birazda sen söðüþle"
5,"Þerefsizlik, sözde sanatçýlarýn vazgeçemediði bir deðerdir"
6,Kendisi de bilmiyordur çünkü beyinsiz
7,"aþýrý býyýklý geleneksel keko adam, bi ayrýlýp bi barýþan boþ bakýþlý salak çift veya direnaj ertuðrul 18. sezon dýþýnda bi þey izlemek isteyenler için bi çözüm düþündünüz mü peki"
8,"En uzun yolculuklar bile, tek bir adýmla baþlar. Geleceðin mimarlarý gençlerimiz için atýlan ilk adýmlarý var gücümüzle desteklemeye devam ediyoruz."
9,Vallahi bu aralar istediðimiz tek þey huzur
10,"CHP Genel Baþkaný Kemal Kýlýçdaroðlu'nun eþi Selvi Kýlýçdaroðlu, Hazine ve Maliye Bakaný Berat Albayrak'ýn eþi Esra Albayrak'ý telefonla arayarak, yeni doðan çocuðu ile ilgili sosyal medyadan yapýlan hakaret içerikli paylaþýmlar nedeniyle duyduðu üzüntüyü paylaþtý."
11,Beyin göçünü engellemeye çalýþtýðýmýz gençlere sosyal medyayý yasaklamak gerçekten dahiyane bir fikir
12,Doða ana bu kullanýlmayan depoyu devralýyor
13,Tarlasýný çekerken beni niye çekmedin diye söylenenen dayýnýn aslýnda kendinin çekildiðinden habersiz oluþu
14,babaannesini seven yoktur heralde anneanneler ne kadar minnoþsa babaanneler o kadar çekilmez oluyo inþallah babaanne olmam ilerde aq kimse sevmez beni
15,"Merhaba, konuyla ilgili yardýmcý olmak isteriz. Ýrtibat numaranýzý direkt mesaj olarak bize iletir misiniz?"
16,"Nietzsche Böyle Buyurdu Zerdüþtte; ""Ama önce sen kendini inþa etmelisin, dimdik bir beden ve dimdik bir ruhla."" diyor ve ekliyor; ""Derisini deðiþtirmeyen yýlan ölmeye mahkumdur. Bu durum fikirlerini deðiþtirmeyen zihinler için de geçerlidir. Sabit fikir, en büyük hapishanedir."
17,Hiçbir þey harekete geçen cehalet kadar korkunç olamaz
18,Yine birileri bazý deðiþimlerin tadýný çýkarmakla meþgul
19,"""stanley parable diye bir oyun var abi sevebilirsin"" cümlesini unutamadým bir de. eskiden ""ha evet bir de skyrim diyorlar"" diye kýl cevaplar veriyordum bunlara ama artýk <3 atýp geçiyom. yaþlýlýk geldi bana da."
20,"""Seni kitap okuyan insanlarla tanýþtýracaðým. Hayat, ancak böyle insanlarla bir araya geliyorsan yaþanmaya deðer olur."""
21,Yaptýðým en baþarýlý aktivite uyumak.
22,"Kim demiþ iyilerle kötüler belli deðil diye;it itle gezer, yiðit yiðitle."
23,"Hiç bir faydasý olmayan, zararý olan, saray soytarýsý Nagehan fikrini beyan ediyor:"
24,Ulan yanan alevi yakan alevi bugün temel ile ayný çanaktan yal yiyorsun o ne olacak
25,"Defol git lan, ölüye saygýn yok anladýk bari Allah'tan korkun olsun ama o da yok belli!"
26,"2018'den bu yana formamýzý terleten, sadece baþarýlarýyla deðil örnek sporcu kiþiliði ile de büyük beðeni kazanan Yuto Nagatomo'ya kulübümüze verdiði emekler için teþekkür eder, bundan sonraki kariyerinde baþarýlar dileriz. "
27,Kanka ben netflix sayesinde ingilizce ogreniyorum. Netflix yerine bize amcamizla sikismeyi ogreten turk dizileri yasaklansin
28,Öldürür bu
29,O zaman para vermeyeceksin kardeþim. He demek para verdin izlemek istiyosun o zaman þikayet etmeyeceksin. Eþcinsellik insanlarýn tercihi buna kimse karýþamaz saygý duymak zorundasýn. Cinsellik içeren film ya da dizilerde zaten +18 uyarýlarý bulunuyor.
30,Gay düsmani mustafa
31,"Neden? Ýzlemek istemeyen abone olmaz. Açýk sahneyse elinde kumanda sardýrabiliyorsun. Eþcinsellikse, o tarz izleme, birsürü film dizi var. Üye olma, olur biter. Üye olanada kimse karýþamaz, neticede özel bir platform. O kadar güzel dizi projeleri insanlar niye izleyemesin"
32,izleme o zaman dalyrak
33,"Türk televizyon dizileri: Tecavüz, kadýna þiddet, silahlý çatýþma, evlilik dýþý iliþki, ensest...Dön de bi kendi kýçýna bak, insanlarýn para verip izlediði þeylere bok atmadan önce."
34,Ýzleme be amýna kodumun koyunu seni
35,Fiyatý mý fazla geldi gerizekalý
36,ezik orospu evladi izleyen ister ucretli bir uygulama
37,Ýzleme ozaman yarram bi karý görsen düz yokuþa týrmanýrsýn burda cinsellikden bahsediyon sie
38,Zehirin aktýðý yer sizin beyniniz ve aðzýnýz ama farkýnda deðilsiniz. O kadar cahilsiniz ki cehaletinizin farkýna bile varamýyorsunuz. Çok ilkel insanlarsýnýz çooook.
39,"Hayatýnda hiç para vermeden seks yapmamýþ, çevresi eðitimsiz, cahil ve tipsiz insanlarla dolu, cinselliði kedi köðeðin yaptýðý seksten hallice olan çomarlar gelmiþ ""cinsellik"" zehirdir diyor. :))) Yapamadýðýnýzý bu kadar belli etmeyin bari ezikler. :)) Yazýk yav bunlara"
40,Aq ayýk gezmezler her bulduðunu skerler abazalýktan CD eþcinsellerle olurlar sonra Netflix yasaklanabilirmiþ sktrn gidin yavþklaaaaarrr
41,sus lan yavþak   izleme götüm zaten siz fakirlerin netfilixi mi olucak  amk 18 yüzyýldan kalma kafayla yaþýyorsunuz
42,satýn almayýn amk
43,Bir dur da dinle ademoðlu nasýl geldin nasýl gidiyorsun ?
44,"Hepsinin ötesinde, bu baskýcý dönemde alýnan tüm kararlarýn baskýcý iktidara hizmet edeceðini düþünüyorum. Bu yasa özgür bir ortamda getirilmeli."
45,Motorsikletin yanýndan geçen motorcu oluyor amk. 2 gün sonra kaza yapýyor arabalara suç atýyor. Instagramda bir tane düzgün motor kullanan video yok.
46,Benim bir korkum yok konuyu çarpýtmayada gerek de yok kim olursa olsun çocuða kadýna uzanan diller eller toplumdan temizlensin
47,"Baþkalarýna yapýlan hukuk dýþý, ahlak dýþý olaylara sessiz kalýp görmezden geldiniz, size yapýlýnca ortalýðý ayaða kaldýrdýnýz."
48,Doðduðum günden tam 22 yýl sonra yine ayný tarihte mezun oldum bundan sonra kutsal sayým 30dur
49,"Çok komiksin ya, burun deliklerini kapat gülerken, corona var"
50,Bazý kahramanlar pelerin takmaz
51,"Kýbrýs Þehitleri ile Dominik Caddesi'ni yayalar için birleþtirdik. Yaya geçidi üzerine Ýzmirin tarihi köklerinden gelen figüratif desenler iþlendi. Pasaportun dalgalý kaldýrýmý, Bergama kilim ve halýlarýnýn Eli belinde motifleri Talatpaþa meydanýna çok yakýþtý."
52,"Tugay Turan hocamýz çok güzel þekilde, emek vererek akademide yardýmcý araçlarý biraraya getirdiði bir bilgisel hazýrlamýþ . Teþekkür ederim, ellerine, zihnine saðlýk Tugay hocam"
53,Sýnavda elde edeceðiniz puan dilimine göre diploma notunuzun yaklaþýk kaç olmasý gerekir ki yerleþtirme sýrasýnda geriye düþme riskini ortadan kaldýrasýnýz?
54,"Kiþisel Verileri Koruma Kurulu, sosyal medya uygulamasý TikTok hakkýnda, veri güvenliði açýðý iddialarý üzerine inceleme baþlattý."
55,"Umblikal kord ( göbek baðý ) iki atardamar ve bir toplardamardan oluþuyor , Rahim içinde bebeðin tüm ihtiyaçlarý bu kordonla saðlanýyor"
56,Kütüphanemizdeki kitaplarýn tam ekran fotoðrafýný yorum olarak atan 25 kiþiye çekiliþle görseldeki seti hediye ediyoruz.
57,Ülkenin her tarafýnda topraklar iþleniyor. Sonbahara fidan dikimine hazýrlýk yapýlýyor. Erozyon nedeniyle tek bir gram topraðýmýz kaybolmasýn diye orman teþkilatý çalýþýyor. 10 yýl sonra daða yazýlan OGM yazýsýný görürseniz aðaçlarý kesip OGM yazmýþlar. demeyin sakýn
58,"Sýzýntýyla ortaya çýkan görsellerin grafik detaylarý çok kötüydü. Oyunculardan gelen tepkileri dinleyen firma, oyun üzerine daha fazla çalýþacaklarýný ve çok daha iyi görsellikle döneceklerinin de altýný çizdi."
59,Bu sýcak yaz günlerinde tüm vatandaþlarýmýzý sokak hayvanlarý için kapýlarýnýn önlerine bir kap su koymaya davet ediyoruz.
60,"Þartlar uygun, ben deðilim."
61,Tam pencere önünde ve televizyon karþýsýnda yarým saat uyuyakalmalýk hava var þu an
62,"Þuan aklýmýza gelen ilk þarkýyý yazalým, bakalým neler çýkacak"
63,Siksokçular anlýk
64,"hayatýmda gördüðüm en güzel haberlerdne birisi... en azýndan artýk instagramda cemre solmaz,azra gül,yaren,enes baturu vs.  Görmeyeceðim"
65,Hepsini kapatýn bütün toplumun ahlakýný bozdular
66,AKP'li oyuncunun ikiyüzlülüðü
67,Teþekkürler! Geri bildirim de bekliyoruz o halde. Bu taahhütü takip edeceðim. Ara ara da size hatýrlatacaðým
68,"Hastaneye yetiþemeyen kadýnýn, otoparkta ebe yardýmýyla doðum yaptýðý anlar"
69,"Birisi tarafýndan delice sevilmek size güç verir, birisini delice sevmek ise cesaret"
